FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
201.87827,4273.44,24.05473,51.128616,3379.6343,70.897675,97.04984,101.631294,0,44.300865,883.52625,1325.2893,0.64735967
230.29987,4832.929,53,59.848763,3310.2505,97.952065,120.663635,243.49628,0,78.50233,1601.1947,5070.4497,1.1731954
233.16411,4769.4014,53.824753,61.91473,3244.6013,98.2768,122.196945,251.68378,0,80.213356,1715.4705,5432.323,1.2569252
238.54863,4774.3145,55,64.861824,3214.0063,98.42167,123.490265,261.88443,0,81.19675,1829.1594,5792.3384,1.3402252
239.60254,4712.042,54.020203,63.59887,3207.0886,98.45429,122.63072,264.54166,0,81.55855,1672.4962,5296.238,1.225438
241.27438,4660.9546,53,62.122086,3205.4004,98.47727,121.528076,268.47742,0,80.989075,1636.1904,5181.2695,1.1988367
236.06566,4644.63,52.642857,62.497387,3195.8613,98.4881,121.8526,270.06802,0,81.343185,1613.9971,5110.9907,1.1825757
236.40236,4506.094,50,56.3709,3242.116,98.4,118.7593,266.8037,0,80.45232,1471.1243,4658.56,1.0778928
236.22678,4488.134,50,56.94415,3226.03,98.4,119.33263,268.91644,0,81.280846,1474.4167,4668.9863,1.0803051
234.51462,4596.058,52.994873,63.371346,3175.2434,98.46639,124.476036,302.88016,0,82.55715,1450.3289,4304.9443,1.0626559
233.73979,4668.2817,55,67.64109,3140.0925,98.5,126.15636,358.12912,0,82.09729,1630.6628,5163.7656,1.1947867
234.96895,4657.815,55,65.89538,3170.6814,98.46303,125.37701,356.97983,0,81.58652,1660.1415,5257.1147,1.2163857
238.10599,4657.6133,55,63.870506,3204.731,98.4,123.56577,354.10858,0,81.25651,1699.7954,5382.6855,1.2454401
238.18631,4646.35,55,64.18407,3196.4585,98.4,123.54727,366.01257,0,81.37887,3423.7717,4184.61,2.5085976
238.67314,4631.347,55,64.42668,3189.8613,98.4,123.62629,375.84665,0,81.779625,3445.6843,4211.392,2.524653
239.6391,4606.598,55,64.30489,3183.95,98.4,123.52914,385.2617,0,81.59714,3543.3254,4330.731,2.5961945
242.36494,4418.389,47.39144,63.356632,3202.1484,98.390724,118.984764,375.6942,0,78.34568,2928.9192,3579.79,2.1460192
243.10985,4587.4014,55,64.3839,3171.3416,98.4,123.53022,403.94272,0,79.00575,3239.2566,3959.0913,2.3734033
235.9403,4221.965,39.624138,62.17907,3294.6592,98.2562,117.04342,365.62,0,76.5017,3198.7039,3909.527,2.3436904
241.7241,4541.127,55,63.880768,3176.3914,98.4,123.044106,420.1531,0,80.93176,3399.6628,4155.1436,2.490933
245.26753,4477.053,55,63.966846,3160.647,98.42654,122.98917,357.72635,0,79.520294,3491.1711,4266.987,2.5579813
246.0403,4419.7695,55,63.980835,3143.8591,98.44146,122.90211,300.15244,0,79.49692,3537.6013,4323.735,2.5920005
244.25154,4401.7095,55,63.694504,3141.8108,98.4,122.78358,299.7608,0,80.03651,3515.5076,4296.7314,2.5758123
242.96153,4382.5596,55,63.49213,3137.3918,98.4,122.6809,299.6696,0,78.4737,3499.435,4277.087,2.5640361
241.04655,4364.663,55,63.279507,3132.6685,98.4,122.53861,298.91266,0,78.37182,3583.6997,4380.077,2.6257768
225.25475,4342.4634,55,63.05222,3126.6108,98.4,122.46545,287.4225,0,79.492516,3726.8254,4555.009,2.730645
198.9347,4316.4775,55,62.9153,3119.424,98.4,122.54856,267.36298,0,79.41921,3614.604,4417.849,2.6484203
199.857,4301.6074,55,62.72361,3117.677,98.4,122.52167,269.32166,0,77.48548,3713.0913,4538.2227,2.7205822
202.10582,4289.315,55,62.48263,3119.2332,98.4,122.45915,272.1441,0,78.36845,3653.6501,4465.5723,2.6770296
202.87962,4273.9683,55,62.226242,3120.3672,98.399185,122.32505,274.35657,0,77.95544,3515.2747,4296.447,2.5756419
203.6704,4254.42,55,61.8205,3118.9836,98.3453,122.18831,276.93716,0,77.55184,3538.4595,4324.7837,2.5926292
204.5825,4239.0835,55,61.547474,3116.6775,98.3,122.08122,278.7352,0,77.47525,3508.7524,4288.475,2.570863
204.37595,4211.2915,54.153847,61.246864,3108.9175,96.78769,121.24378,279.37158,0,78.25451,3483.6072,4257.742,2.552439
225.33102,3498.704,29.8531,54.55531,3052.6663,97.69802,113.24031,270.64902,0,74.301315,3487.1887,4262.1196,2.5550632
264.51276,4024.6614,55,59.16109,2849.625,98.62655,119.70418,332.023,0,77.24228,3487.5212,4262.526,2.555307
268.95996,3992.9014,55,58.76785,2832.2185,98.66462,119.486046,337.702,0,75.78442,3538.3367,4324.634,2.5925393
221.73901,3304.3677,1.4864864,12.714999,3365.2822,97.49341,98.96811,584.4475,0,49.0315,3257.8499,3981.8164,2.3870265
223.81197,3925.7183,29.627882,55.571835,3435.1719,97.35,113.11058,618.675,0,45.019646,3229.2788,3946.896,2.3660924
