FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
252.3807,3490.2512,55,50.112587,2348.3147,78.282196,88.43873,820.8064,0,0,3800.099,1200.0312,1.8730688
248.05128,3490.3447,55,50.114815,2348.4214,78.27065,88.443954,821.086,0,0,3860.816,1219.205,1.9029961
246.77588,3487.1848,42.255554,50.0643,2354.6887,78.08575,88.29972,705.52136,0,0,3900.7507,1231.816,1.92268
249.5045,3491.7942,55,50.17596,2351.8916,78.26303,88.51609,821.4687,0,0,3755.6968,1186.0095,1.8511829
252.48193,3491.0596,55,50.167442,2350.1062,78.26988,88.50904,820.8165,0,0,3763.9937,1188.6295,1.8552724
252.45569,3490.964,55,50.168774,2349.7524,78.272865,88.53184,821.2465,0,0,3755.0046,1185.7909,1.8508418
253.26459,3484.1372,38.842857,50.116745,2351.0981,78.27063,88.49749,809.55664,0,0,3615.6719,1141.791,1.7821646
230.87973,2773.1494,27.05,49.6101,2464.5918,78.48608,85.16768,412.4337,0,0,4509.31,1423.9926,2.2226388
252.04034,3502.287,55,50.329735,2362.5503,78.27314,88.658615,822.2309,0,0,3724.6768,1176.2137,1.8358932
251.5,3497.2075,55,50.308292,2354.436,78.27537,88.66774,824.53107,0,0,3723.1536,1175.7327,1.8351424
252.78976,3495.7734,55,50.36757,2351.9973,78.2786,88.659996,822.4598,0,0,3722.0376,1175.3802,1.8345923
248.79266,3495.5527,55,50.40224,2351.306,78.2778,88.65271,822.00574,0,0,3779.6943,1193.5876,1.8630114
252.2492,3495.1013,55,50.388264,2350.36,78.276794,88.651634,821.98834,0,0,3734.7988,1179.4102,1.8408823
253.65694,3494.7056,55,50.478058,2349.5435,78.27283,88.643875,821.9313,0,0,3517.723,1110.8597,1.7338855
251.7308,3494.3853,55,50.37469,2348.8542,78.27902,88.62754,821.94025,0,0,3593.3506,1134.7422,1.7711625
252.30072,3493.8955,55,50.3021,2348.202,78.278015,88.643135,821.8003,0,0,3606.7576,1138.976,1.7777708
252.58704,3493.475,55,50.27765,2347.511,78.2755,88.647575,822.02625,0,0,3676.2385,1160.9174,1.8120179
237.55374,3165.6995,34,50.06281,2404.5505,78.368416,93.95293,610.23364,0,0,4037.635,1275.0426,1.9901503
240.79868,3495.0562,55,50.18669,2351.4421,78.27686,88.73118,822.05743,0,0,3600.7078,1137.0656,1.7747889
239.3748,3492.7202,55,50.238888,2347.17,78.27638,88.726456,821.60364,0,0,3756.8757,986.6542,1.8517641
238.01193,3491.6157,41.25,50.09713,2345.3047,78.27715,88.707855,694.43787,0,0,3661.5742,961.6255,1.8047899
229.33963,3846.3203,19.690908,50.155735,2425.5298,129.16309,118.82166,325.75122,0,0,3860.428,1013.8497,1.902805
235.37883,3515.493,43.329998,50.53893,2374.2485,78.29034,88.609024,712.9043,0,0,3998.1367,1050.0156,1.9706815
241.17146,3506.1436,55,50.501614,2354.7854,78.28806,88.64646,815.6134,0,0,3356.517,1438.5072,1.6544272
240.0549,3500.87,55,50.47515,2347.8857,78.27625,88.6132,817.5801,0,0,3340.7642,1431.756,1.6466626
