FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
198.97333,3385.2202,59.954575,44.172092,2177.4011,99.5,0,723.50555,0,65.2848,1842.5243,0,1.3500175
198.1412,3385.1785,59.954887,44.09739,2177.1162,99.5,0,723.35944,0,65.43302,1811.1354,0,1.3270189
197.64336,3384.3057,59.958138,44.19892,2176.2043,99.5,0,722.82544,0,66.43689,1858.6307,0,1.3618187
198.62552,3384.2131,59.958252,44.244545,2176.1028,99.5,0,723.17255,0,66.05434,1847.8668,0,1.353932
198.16245,1029.0491,53.26465,42.16344,883.2188,5.484252,0,564.61804,0,59.944847,1619.6072,0,1.1866862
193.15315,0,1.3857143,0.07638011,0,0,0,244.7417,0,26.800224,1081.1249,0,0.7921402
201,0,0,0,0,0,0,347.7003,0,54.246704,1274.6569,0,0.9339411
201,0,0,0,0,0,0,345.07352,0,54.301323,1235.289,0,0.90509623
201,0,0,0,0,0,0,344.0268,0,53.07765,1217.1088,0,0.8917756
0,0,0,0,0,0,0,342.22256,0,48.933426,1234.0354,0,0.9041778
250.17197,2879.1987,55,42.25145,1932.8124,100.79557,111.216896,460.02078,0,0,3032.5217,0,2.4866679
250.49753,2876.6467,55,42.21746,1930.2231,100.79004,111.21553,458.79794,0,0,2992.5027,0,2.4538522
249.84076,2872.6953,55,42.216705,1925.3374,100.79627,111.20779,457.39993,0,0,3039.2483,0,2.4921837
250.14276,2868.2634,55,42.267868,1919.9019,100.7641,111.197075,455.94583,0,0,3045.5293,0,2.497334
251.69664,2864.8518,55,42.236668,1914.8292,100.70853,111.187485,454.88022,0,0,2999.5886,0,2.4596627
258.41522,2862.9578,55,42.212555,1912.2423,100.708244,111.174164,454.44794,0,0,3056.062,0,2.505971
252.16267,2859.0684,55,42.16257,1911.6665,100.72295,111.16483,452.51678,0,0,3044.3845,0,2.4963953
250.03325,2756.4854,49.28793,42.00671,1986.4504,100.83665,110.5065,431.05014,0,0,2970.2878,0,2.435636
