Date_Year,Date_Month,Date_Day,Qo,Qg,Qw,Pwh,Twh,Pwf
2019,7,13,461.8226,3910,2890.29,190,90,1776
2019,7,14,460.4305,3996,2704,178,90,1772
2019,7,15,467.2643,4001,2820.19,173,90,1768
2019,7,16,484.3949,3986,2812.48,168,90,1765
2019,7,17,478.9106,3996,2983.4,172,90,1770
2019,7,18,448.6112,3959,2679.52,170,90,1760
2019,7,19,469.0115,3987,2804.69,191,90,1760
2019,7,20,468.6733,3991,2687.19,165,90,1752
2019,7,21,515.9202,3977,2938.64,170,90,1749
2019,7,22,398.7482,3975,2521.56,178,90,1746
2019,7,23,450.8462,3893,2668.64,220,90,1745
2019,7,24,476.7247,3766,2855.62,165,90,1753
2019,7,25,448.9637,3941,2698.46,166,90,1739
2019,7,26,447.3827,3922,2621.28,175,90,1736
2019,7,27,456.4901,3910,2731.5,172,90,1733
2019,7,28,464.1269,3908,2789.25,163,90,1730
2019,7,29,407.3128,3890,2440.73,166,90,1726
2019,7,30,475.3166,3785,2767.26,176,90,1728
2019,7,31,499.9284,3742,3000.11,176,90,1725
2019,8,1,386.4894,3653,2224.41,183,90,1734
2019,8,2,456.6978,3829,2622.12,168,90,1719
2019,8,3,444.3324,3837,2664.67,170,90,1714
2019,8,4,441.293,3853,2639.44,178,90,1711
2019,8,5,446.1038,3837,2551.39,170,90,1708
2019,8,6,533.7863,3827,3176.22,174,90,1706
2019,8,7,446.0863,3818,2616.99,175,90,1703
2019,8,8,458.9702,3809,2750.02,168,90,1701
2019,8,9,417.1156,3796,2843.76,174,90,1698
2019,8,10,445.8834,3791,2948.3,169,90,1695
2019,8,11,418.3621,3776,2808.83,171,90,1692
2019,8,12,359.3287,3780,2377.45,166,90,1689
2019,8,13,500.4147,3742,3336.7,171,90,1689
2019,8,14,443.6971,3761,3002.57,175,90,1684
2019,8,15,418.9066,3744,2769.42,166,90,1682
2019,8,16,441.7532,3739,2973.08,172,90,1678
2019,8,17,411.1566,3733,2691.56,168,90,1678
2019,8,18,423.0009,3719,2907.4,171,90,1675
2019,8,19,362.0907,3728,2412.09,168,90,1672
2019,8,20,473.9992,3710,3145.66,168,90,1670
2019,8,21,549.2088,3705,3025.45,166,90,1667
2019,8,22,419.5456,3703,2791.53,158,90,1665
2019,8,23,398.8101,3712,2669.42,165,90,1665
2019,8,24,386.2062,3707,2623.81,164,90,1659
2019,8,25,438.5603,3699,2930.56,164,90,1657
2019,8,26,411.1757,3631,2741.66,178,90,1659
2019,8,27,410.1763,3675,2850.79,162,90,1654
2019,8,28,354.0269,3671,2438.29,161,90,1650
2019,8,29,423.5679,3665,2805.82,163,90,1648
2019,8,30,413.8829,3666,2709.81,165,90,1645
2019,8,31,389.0864,3657,2576.38,178,90,1643
2019,9,1,445.6663,3633,2894.63,160,90,1642
2019,9,2,385.1627,3622,2400.12,170,90,1640
2019,9,3,415.4764,3616,2815.83,164,90,1639
2019,9,4,408.0076,3614,2700.42,166,90,1636
2019,9,5,384.3374,3606,2561.09,157,90,1633
2019,9,6,411.4617,3601,2798.98,161,90,1632
2019,9,7,391.6671,3600,2692.22,150,90,1629
2019,9,8,567.0403,3604,2789.95,156,90,1626
2019,9,9,280.6209,3568,1893.91,162,90,1625
2019,9,21,921.2061,7006,3610.3,244,90,2184
2019,9,25,456.6526,2704,2963.07,314,90,2184
2019,9,29,572.7957,4049,3912.39,189,90,1581
2019,10,1,536.0393,3951,3732.9,190,90,1571
2019,10,2,449.0548,4135,3129.22,192,90,1552
2019,10,3,488.2691,4097,3509.4,188,90,1540
2019,10,4,442.9659,4101,3126.05,195,90,1532
