FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
270.8777,2298.847,35.848267,64.565025,1835.6687,75.62767,87.37266,303.35464,0,0,6098.2944,2255.5334,3.4760277
263.24466,2395.7847,32.888195,59.511707,1952.2087,73.32943,83.50626,303.61642,0,0,6396.051,2365.6626,3.6457489
342.47202,3125.5217,58,68.89149,1727.0779,76.59848,106.77689,433.52264,0,0,6521.449,2412.0427,3.717226
340.15256,3108.5952,58,68.75757,1707.666,76.599396,106.883484,431.0772,0,0,6504.1978,2405.662,3.7073927
339.4742,3101.1262,58,68.68275,1698.8291,76.6,106.95921,430.05426,0,0,6476.863,2395.552,3.6918116
337.67075,3096.1755,58,68.69708,1693.3218,76.583466,107.041626,428.62036,0,0,6499.38,2403.8804,3.7046466
336.45267,3091.848,58,68.690025,1688.7104,76.562256,107.064064,427.5113,0,0,6507.8223,2407.003,3.7094588
334.40433,3088.6072,58,68.69737,1685.2805,76.55568,107.1,426.05988,0,0,6515.188,2409.727,3.7136571
333.94318,3086.0286,58,68.68968,1682.5854,76.5456,107.15586,425.52466,0,0,6455.7637,2387.7483,3.6797853
336.5095,3085.1768,58,68.71771,1680.5612,76.54403,107.2,427.105,0,0,6480.107,2396.752,3.693661
336.6813,3082.997,58,68.72183,1678.2604,76.52831,107.2,427.10794,0,0,6490.1104,2400.452,3.699363
335.64374,3080.4302,58,68.750336,1675.5446,76.5,107.20695,425.35422,0,0,6511.6143,2408.4053,3.71162
333.5611,3078.1,58,68.74453,1673.5643,76.5,107.22757,424.81732,0,0,6550.399,2422.7502,3.7337275
333.979,3076.7356,58,68.734665,1671.6798,76.5,107.25293,424.95517,0,0,6475.6646,2395.109,3.6911287
332.35776,3074.9094,58,68.70233,1669.8705,76.5,107.295235,423.6965,0,0,6504.414,2405.7422,3.7075162
333.3692,3073.9656,58,68.70558,1668.2314,76.5,107.29735,424.1905,0,0,6629.001,2451.8223,3.7785306
334.1112,3073.3696,58,68.67629,1666.8123,76.5,107.3,424.46457,0,0,6518.4697,2410.941,3.7155278
333.63736,3072.177,58,68.653336,1665.2925,76.5,107.297386,424.08325,0,0,6527.7104,2414.3586,3.720795
275.17136,2404.0925,35.675,64.992775,1775.2308,76.54364,86.6758,320.6094,0,0,6502.104,2404.888,3.7061994
258.87915,2183.7488,33.920074,62.435936,1815.5251,75.53817,86.48554,285.39996,0,0,4137.9014,1530.4567,2.3586037
335.27792,3072.9622,58,68.5966,1684.2126,76.5295,107.14075,404.22495,0,0,6562.9844,2427.4053,3.740901
335.45322,3066.8586,58,68.558464,1675.7704,76.5,107.1,404.2519,0,0,6573.383,2431.2512,3.746828
335.51837,3064.1492,58,68.58634,1671.7852,76.5,107.1,403.89346,0,0,6500.542,2404.31,3.7053092
335.7274,3062.781,58,68.593376,1668.5356,76.5,107.1,403.6551,0,0,6447.4756,2384.6826,3.675061
335.617,3061.7915,58,68.57743,1665.8693,76.5,107.09939,403.19037,0,0,6442.7817,2382.9468,3.6723857
335.59802,3061.1858,58,68.616394,1664.2106,76.5,107.1,403.28412,0,0,6444.7896,2383.6892,3.6735299
334.57828,3060.0005,58,68.638985,1662.7804,76.5,107.1,402.63565,0,0,6486.2393,2399.02,3.6971564
334.28214,3059.228,58,68.586105,1661.5995,76.5,107.1,402.41806,0,0,6482.167,2397.514,3.6948352
335.06448,3058.5083,58,68.52691,1661.3271,76.5,107.1,402.93115,0,0,6498.5205,2403.5625,3.7041569
345.38412,3061.9355,58,68.50289,1660.5874,76.5,107.1,410.72003,0,0,6674.8145,2468.7668,3.804644
343.92557,3060.2585,58,68.527176,1659.4978,76.5,107.09846,409.6314,0,0,6728.9863,2488.8032,3.8355222
333.51932,2949.169,52.326015,67.74255,1685.2157,76.57986,102.109436,392.70404,0,0,6574.947,2431.8296,3.7477195
346.1977,3060.5178,58,68.47679,1667.9701,76.5,107.04463,411.24606,0,0,6638.962,2455.5063,3.7842083
345.4153,3059.0283,58,68.45255,1666.1044,76.5,107.04804,410.6671,0,0,6582.542,2434.639,3.752049
344.11288,3057.7432,58,68.446175,1665.3822,76.5,107.04594,409.5544,0,0,6562.105,2427.0798,3.7403998
328.08868,2891.945,49.635178,67.52145,1693.63,76.559555,102.803406,385.58118,0,0,6111.5347,2260.4307,3.4835749
