FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
201.43901,3001.0466,50,19.326305,1950.6748,95.899994,120.44431,404.3925,0,33.813717,862.27026,55.0385,0.5629763
202.55858,3016.2527,50,19.385794,1965.5331,95.899994,120.50476,314.68185,0,31.478672,830.86884,53.0341,0.54247427
201.56581,3062.7437,50,19.316444,2005.119,95.899994,120.93636,429.73132,0,33.53088,795.46497,50.7743,0.5193591
195.71156,3058.3552,50,19.3012,2002.4427,95.899994,120.870544,429.24524,0,32.958103,801.0366,51.1299,0.52299684
194.74834,3059.9456,50,19.32655,2005.0114,95.9,120.89081,429.83237,0,33.24353,803.3772,51.2793,0.524525
194.9607,3058.4844,50,19.296457,2004.6235,95.9,120.89147,429.50748,0,32.95002,780.2178,49.8011,0.5094042
196.2222,3059.2524,50,19.328724,2005.9086,95.9,120.88968,429.738,0,33.7851,809.23254,51.6531,0.52834797
196.2626,3031.4363,50,19.333397,1981.0718,95.9,120.6305,420.42917,0,34.20834,777.11395,49.603,0.5073777
198.39688,3015.8896,50,19.316412,1967.2552,95.9,120.50966,414.89798,0,34.860126,839.05743,53.5568,0.5478206
198.55927,3005.825,50,19.346878,1958.0273,95.9,120.39319,411.44745,0,34.96137,817.9909,52.2121,0.53406626
202.18484,2999.9414,50,19.357264,1953.3564,95.9,120.364624,409.1562,0,34.62145,838.66077,53.5315,0.54756165
203.20135,2996.206,50,19.34984,1949.9136,95.9,120.33201,407.7215,0,35.466545,875.7519,55.899,0.5717785
203.72148,3016.892,43.8,19.21918,1966.5195,186.04214,142.95114,386.2786,0,34.757656,858.26404,54.7828,0.5603606
207.63657,3009.1443,46.990383,19.307642,1963.8889,95.79126,119.41107,402.60062,0,35.410656,879.2681,56.1234,0.57407415
200.6494,2999.3083,50,19.35833,1947.1353,95.8,120.30893,406.29443,0,34.940994,888.4861,56.7118,0.58009255
200.4311,2840.8308,37.373737,18.917347,2057.2883,95.815384,113.86461,372.0574,0,31.836805,976.2916,62.3164,0.63742083
188.322,2934.151,27.613861,18.417927,2348.979,95.29697,113.09345,389.1095,0,20.492853,1208.339,213.2362,0.7889246
181.59947,3094.4604,48.245613,19.279156,2039.6783,95.9,120.485405,441.5172,0,30.78179,1021.4876,180.2625,0.6669293
182.04698,3315.478,8.438095,13.481354,2334.3418,95.71151,120.426025,260.50006,0,14.211769,1341.4701,236.73,0.87584585
191.2475,3431.2554,50,19.247587,2339.0874,95.73061,125.36655,587.8795,0,30.510077,666.4135,117.6023,0.4351014
195.14906,3400.6614,50,19.288925,2307.8884,95.8,124.61562,560.7375,0,31.795397,749.7191,132.3033,0.48949164
194.56703,3389.3257,50,19.258669,2298.2249,95.8,124.03328,550.8021,0,31.027153,760.2338,134.1589,0.4963567
190.49467,3397.8674,50,19.250036,2308.431,95.8,125.5768,550.2045,0,30.622683,764.66626,134.9411,0.49925062
187.34383,3395.1707,50,19.265066,2306.3054,95.8,125.57537,548.5744,0,30.518677,753.4632,132.964,0.49193612
188.80423,3402.3098,50,19.240995,2316.7002,95.8,125.821365,550.11523,0,30.42297,778.00354,137.2947,0.50795853
190.01694,3390.8967,50,19.290266,2315.9802,95.8,125.43458,544.5407,0,29.945175,699.0513,123.3619,0.45641062
187.88358,3263.8525,50,19.267181,2347.8982,95.76349,126.809685,476.64423,0,28.489857,901.5121,159.0903,0.58859724
187.28499,3273.0896,50,19.277147,2346.6133,95.75247,127.21238,482.33368,0,28.784454,967.447,170.7259,0.63164616
190.7252,3173.2788,50,19.357292,2387.7185,95.76826,128.11723,430.24945,0,30.082401,1104.545,194.9197,0.72115755
195.91457,3132.321,50,19.401108,2408.3992,95.773094,128.44493,412.73886,0,30.198551,1160.336,204.7651,0.75758344
