FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
380.8803,5020.0723,55,56.59503,3771.7363,97.59999,111.64753,430.78424,67.386024,0,586.133,3600.531,0.42945963
383.1014,5020.0513,55,56.552166,3773.0945,97.59999,111.65386,432.9864,59.032677,0,581.205,3570.2593,0.4258489
383.83356,5019.6484,55,56.532135,3773.121,97.59999,111.710724,433.9676,65.021774,0,589.55835,3621.5728,0.4319694
384.94165,5020.0376,55,56.487488,3773.1646,97.59999,111.7898,434.9119,61.490395,0,584.8665,3592.7512,0.4285317
382.60892,5018.8716,55,56.476048,3773.3716,97.6,111.76447,432.89304,63.450645,0,591.9749,3636.4175,0.43374005
384.45508,5020.2534,55,56.45771,3774.5403,97.6,111.77867,434.4421,62.7482,0,577.661,3548.489,0.42325225
385.99704,5021.313,55,56.48332,3774.9482,97.6,111.83805,435.5961,65.2835,0,575.3033,3534.0056,0.4215247
410.1085,5164.9683,50.017178,60.645966,3750.8696,97.77782,111.867485,445.28433,60.833874,0,555.13745,3410.1301,0.40674925
451.27933,5343.4297,43.950684,65.46258,3725.4666,97.65147,112.52857,439.80237,59.319244,0,470.96893,2893.095,0.34507895
476.67114,5395.511,55,68.38093,3723.359,97.6,113.57847,562.9949,69.36815,0,404.0484,2482.0115,0.29604626
482.23804,5393.861,55,68.408745,3726.1511,97.6,113.5511,570.15576,69.6418,0,396.61038,2436.3208,0.29059643
482.61658,5392.6895,55,68.39727,3728.2732,97.6,113.544235,444.8286,70.20129,0,601.11365,3692.5554,0.440436
62.447144,693.4757,7.071429,8.768127,479.52,14.911111,14.592857,200.35027,24.253279,0,960.6825,5901.3354,0.7038921
0,0,0,0,0,0,0,210.7747,31.56152,0,846.8256,5201.9287,0.62046915
0,0,0,0,0,0,0,217.12546,7.0838437,0,877.84564,5392.4805,0.6431975
340.7582,4303.4375,22.9844,52.417065,3353.0132,42.965332,68.22342,286.38556,0,0,536.00635,3292.6104,0.39273188
376.49805,5091.628,49.30299,61.36981,3768.0498,98.358376,109.00386,439.77087,0,0,536.31573,3294.5107,0.39295852
409.074,5208.58,55,62.44613,3751.7725,97.7,112.53393,478.8991,0,0,521.9034,3205.9778,0.3823986
413.91653,5202.36,55,62.34096,3752.951,97.7,112.46802,485.20178,0,0,507.79965,3119.3408,0.37206483
403.9652,5194.7993,55,62.45909,3751.5195,97.7,112.428375,478.5437,0,0,523.0251,3212.8682,0.38322046
392.21252,5139.916,44.146107,62.14369,3756.6038,97.88505,110.723755,432.83316,0,0,514.3352,3159.4878,0.37685344
426.81992,5240.3364,55,63.59914,3751.8093,97.7,112.40143,502.24594,0,0,466.68323,2866.7683,0.3419388
431.64294,5238.3535,55,63.607292,3754.0608,97.7,112.44443,507.8503,0,0,461.14984,2832.7776,0.3378845
432.35358,5237.8867,55,63.60298,3754.9106,97.7,112.464836,508.98422,0,0,462.48666,2840.9895,0.33886397
434.3739,5238.038,55,63.56766,3755.6904,97.7,112.470764,510.91022,0,0,460.03873,2825.9521,0.33707038
432.52945,5236.527,55,63.551636,3755.671,97.7,112.503,509.58054,0,0,461.57153,2835.368,0.33819345
435.87292,5237.488,55,63.5239,3755.669,97.7,112.5119,512.31744,0,0,457.59833,2810.961,0.3352823
436.21817,5236.839,55,63.528908,3755.6956,97.7,112.55563,512.7131,0,0,415.42636,2551.9048,0.3043829
434.82794,5236.171,55,63.552757,3755.0977,97.7,112.59767,511.62933,0,0,507.26266,3116.042,0.37167138
436.0169,5236.455,55,63.528225,3754.7053,97.7,112.6,512.51654,0,0,445.41238,2736.1045,0.32635367
436.51062,5236.462,55,63.515125,3754.4473,97.69231,112.62456,512.83594,0,0,469.59787,2884.6726,0.34407437
436.10117,5236.3364,55,63.535732,3754.5737,97.669,112.665726,512.5833,0,0,475.94287,2923.649,0.34872335
435.79855,5236.6406,55,63.612072,3754.2852,97.65176,112.71724,512.4706,0,0,466.20273,2863.8167,0.34158674
436.16977,5236.6274,55,63.571617,3754.448,97.637985,112.7509,512.72595,0,0,454.27325,2790.5356,0.33284602
436.35403,5236.4727,55,63.536446,3754.21,97.62198,112.80238,512.8097,0,0,457.51978,2810.4785,0.33522475
436.61057,5236.849,55,63.539955,3754.2278,97.60081,112.81963,512.9892,0,0,460.9306,2831.431,0.33772388
436.9189,5237.515,55,63.54682,3754.2273,97.6,112.81273,513.21765,0,0,465.0482,2856.7246,0.34074083
436.92307,5237.8823,55,63.570816,3754.2554,97.6,112.810616,513.20935,0,0,459.26962,2821.2278,0.33650687
438.10803,5238.999,55,63.567593,3755.2854,97.6,112.83869,514.0346,0,0,472.21414,2900.744,0.3459913
439.3417,5239.636,55,63.564617,3755.6707,97.6,112.86421,514.98724,0,0,438.82007,2695.609,0.32152346
439.54156,5239.4146,55,63.509438,3755.6538,97.6,112.89925,515.06464,0,0,460.87445,2831.0857,0.3376827
439.4457,5239.201,55,63.528667,3755.3696,97.6,112.90949,514.79224,0,0,470.8051,2892.0886,0.34495893
438.70123,5238.4717,55,63.53925,3755.0305,97.6,112.94107,514.5843,0,0,478.14246,2937.161,0.350335
440.98602,5239.441,55,63.526314,3755.466,97.6,113.04175,516.39264,0,0,478.44193,2939.0002,0.3505544
441.27167,5239.3516,55,63.52014,3754.7085,97.6,113.082985,516.6657,0,0,469.6385,2884.922,0.34410414
441.1038,5239.2056,55,63.506817,3754.2246,97.6,113.144165,516.5376,0,0,473.11633,2906.286,0.34665233
440.53168,5238.61,55,63.538097,3754.2178,97.6,113.139404,516.14905,0,0,467.57108,2872.2222,0.34258932
439.61188,5237.9976,55,63.580017,3754.222,97.6,113.09685,515.5337,0,0,461.72406,2836.305,0.33830523
440.90656,5239.34,55,63.561897,3754.529,97.6,113.11937,516.57635,0,0,464.59637,2853.9492,0.3404098
440.57913,5239.3906,55,63.52655,3755.2148,97.6,113.17234,516.2167,0,0,258.53873,2021.3448,0.18943132
440.39777,5239.611,55,63.549324,3755.4075,97.6,113.2,516.15515,0,0,273.21466,2136.0864,0.20018439
435.85083,5238.884,55,63.615833,3755.0488,97.6,113.2,512.5055,0,0,260.37372,2035.6915,0.19077583
438.4704,5241.0366,55,63.627945,3756.2556,97.6,113.2,514.5881,0,0,263.3107,2058.6538,0.19292776
437.73706,5241.667,55,63.642483,3757.1272,97.6,113.21849,513.98975,0,0,269.9665,2110.6912,0.19780445
400.39255,5164.7485,47.722816,63.00937,3756.8076,97.74968,111.136055,439.21106,0,0,313.06396,2447.642,0.22938196
422.40726,5251.553,55,63.62152,3747.9734,97.6,112.48972,493.67972,0,0,293.83844,2297.3303,0.21529543
428.844,5246.218,55,63.582817,3750.799,97.6,112.48164,501.7292,0,0,285.932,2235.5151,0.2095024
430.82114,5244.4956,55,63.57611,3752.9736,97.6,112.540474,504.49927,0,0,278.2084,2175.1292,0.2038433
431.9654,5243.081,55,63.587906,3754.6638,97.6,112.54496,506.10495,0,0,267.89606,2094.5037,0.19628744
434.6355,5242.903,55,63.59054,3756.2563,97.6,112.62629,508.77817,0,0,266.56448,2084.0933,0.19531181
435.3853,5242.3296,55,63.550808,3757.9368,97.6,112.69214,509.64188,0,0,267.41574,2090.7485,0.19593552
433.10214,5241.2476,55,63.56763,3758.764,97.6,112.73715,507.93466,0,0,267.70135,2092.9817,0.19614479
436.5085,5242.5024,55,63.568718,3759.5823,97.6,112.78116,510.95972,0,0,261.12875,2041.5947,0.19132905
436.31763,5242.875,55,63.644035,3760.03,97.6,112.787,511.16568,0,0,250.81892,1960.9889,0.18377504
435.39584,5242.2153,55,63.62629,3760.0352,97.6,112.84089,510.5828,0,0,259.40976,2028.155,0.19006954
437.6294,5243.0825,55,63.619232,3760.023,97.6,112.87675,512.4152,0,0,256.0317,2001.7441,0.18759443
397.89258,5040.2593,37.296562,61.763462,3777.3508,98.322525,110.52873,380.05215,0,0,261.89432,2047.5801,0.19188997
367.3946,4724.312,37.053104,65.453674,3791.822,97.76785,106.95177,402.84088,0,0,221.30717,1730.2559,0.16215177
479.21802,5407.9795,55,68.664444,3734.53,97.6,113.397995,568.4898,0,0,200.24068,1565.5507,0.14671634
484.50275,5405.96,55,68.5863,3737.4375,97.6,113.4,574.8453,0,0,192.49477,1504.9905,0.14104092
486.34027,5400.0386,53.942307,68.54507,3736.7864,96.09846,112.51008,577.1952,0,0,189.46805,1481.3265,0.13882324
453.9155,5270.5625,27.5,68.17197,3754.5854,100.51071,102.823074,473.95752,0,0,189.22493,1479.4257,0.13864511
366.57718,3534.839,43.998947,47.67865,2241.5955,93.90909,117.62988,311.97864,0,0,426.39676,3333.7168,0.3124209
476.59656,3331.3481,60,46.683174,2108.3872,99.899994,124.9515,563.3573,58.549294,0,446.4372,3490.4,0.32710454
470.5171,3324.814,60,46.600018,2106.694,99.899994,125.356895,559.0436,59.14707,0,410.11783,3206.4426,0.30049336
439.46338,3298.505,60,46.460796,2094.8748,99.893265,125.58654,541.1799,56.63423,0,413.19754,3230.521,0.30274984
235.75633,3093.0046,60,45.641052,2023.2258,99.9,125.14394,405.28836,58.958435,0,525.6489,4109.7046,0.38514295
230.43774,3210.6743,60,45.967007,2064.075,99.87459,125.78657,484.75336,50.76214,0,458.1761,3582.179,0.335706
225.80936,3377.2993,60,46.513462,2123.327,99.8,126.63179,595.12866,50.135788,0,3048.208,0,2.233422
226.37157,3378.9534,60,46.534695,2120.742,99.8,126.83279,596.87524,57.504116,0,3012.3232,0,2.1086261
226.05923,3382.6443,60,46.56464,2127.2947,99.8,126.99728,598.4046,56.762646,0,2958.437,0,2.070906
226.26591,3372.2974,50.788612,45.848137,2145.041,99.73409,125.73821,550.5514,51.259525,0,3072.0522,0,2.1504364
226.03403,3362.031,60,46.32548,2135.633,99.8,127.14047,587.9564,56.921185,0,3318.0225,0,2.3226159
225.33057,3361.7773,60,46.41915,2133.5564,99.8,127.34971,588.95166,58.92938,0,3372.2554,0,2.3605788
225.71469,3362.1438,60,46.4105,2132.1794,99.8,127.48727,589.7082,63.568043,0,3543.3662,0,2.4803565
224.34352,3360.844,60,46.32027,2129.6138,99.8,127.618484,589.2989,52.420403,0,3505.6516,0,2.4539561
224.84702,3360.4749,60,46.317345,2127.787,99.8,127.73684,589.4395,55.999172,0,3499.2202,0,2.449454
