FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
251.85585,20.009998,55,36.574524,5.5923076,0,300,849.90826,71.00694,0,331.47275,476.9973,0.2592117
250.81668,0,55,36.554638,0,0,300,862.6353,66.91969,0,340.67337,490.2372,0.26640657
249.3915,4.7249994,55,36.528133,6.83,0,300,876.4885,64.17358,0,349.5104,502.9539,0.27331713
245.81123,105.89524,45.206127,36.355095,59.22333,0,240,708.51996,65.99428,0,1100.5332,1583.6941,0.860617
268.9886,7.491367,55,36.566917,5.57039,0,300,719.80176,69.33115,0,807.57245,1162.1165,0.6315217
268.59235,9.929514,55,36.584328,5.1309385,0,300,725.7632,67.134285,0,807.093,1161.4265,0.6311467
262.6373,14.26975,47.736988,36.23168,4.2152286,0,296.9697,700.31274,67.9933,0,879.57153,1265.7249,0.68782496
260.62512,13.677921,46.31019,36.125248,0,0,296.9697,699.45844,69.17407,0,884.89215,1273.3813,0.69198567
267.1482,17.232079,55,36.55511,0.4082474,0,300,751.9606,69.84238,0,750.57135,1080.0905,0.5869468
266.34,19.951033,55,36.584415,3.1647887,0,300,761.7653,66.12238,0,718.59033,1034.069,0.56193763
266.0136,20.092524,55,36.614433,3.928,0,300,770.5599,67.50728,0,688.87067,991.3017,0.5386969
265.42828,27.145287,55,36.60858,14.882071,0,300,771.16003,66.83233,0,677.91785,975.5403,0.53013176
263.88528,34.47675,55,36.598976,21.032825,0,300,780.3462,64.2782,0,663.1256,934.7674,0.5185642
263.31888,29.541147,55,36.602116,22.094511,0,300,791.79364,61.66854,0,596.5137,840.8687,0.46647373
275.27557,34.417744,55,36.443237,27.15852,0,300,665.84717,64.77068,0,1410.7148,1988.5981,1.1031791
291.84012,0,55,36.316494,0,0,300,511.46588,69.14501,0,1459.5505,2057.4387,1.1413685
291.15704,0,55,36.302086,0,0,300,521.37695,69.525055,0,1483.8429,2091.682,1.1603651
264.43082,0,39.55056,35.34625,0,0,300,416.13547,53.685543,0,1587.83,2238.2664,1.2416831
245.77689,0,50.995636,38.785824,0,0,0,380.2907,66.125404,0,2007.3405,2829.6245,1.5697402
262.3049,0,55,38.382385,0,0,0,455.67517,68.7227,0,1679.288,2367.189,1.3132032
279.55112,0,55,37.131336,0,0,0,518.23175,68.25867,0,1469.5931,2071.5952,1.1492219
287.23956,0,55,36.536205,0,0,0,553.11053,68.771774,0,1359.528,1916.443,1.0631509
288.13358,0,55,36.45325,0,0,0,564.38965,66.52133,0,1313.9111,1852.1398,1.0274786
289.294,0,55,36.438305,0,0,0,574.1316,64.67485,0,1251.7784,1764.555,0.9788908
290.5201,0,55,36.400394,0,0,0,584.9964,68.473595,0,1249.653,1761.559,0.9772286
289.46362,0,55,36.376553,0,0,0,595.7918,68.18095,0,1126.3265,1587.7133,0.8807874
294.0394,0,55,36.312313,0,0,0,539.3082,66.95176,0,1390.7875,1960.5076,1.0875958
297.52014,0,55,36.27801,0,0,0,506.0734,69.47452,0,1497.6017,2111.077,1.1711245
297.22302,0,55,36.298622,0,0,0,514.67334,69.84394,0,1446.7988,2039.4634,1.1313967
296.30777,0,55,36.31918,0,0,0,524.738,62.113567,0,1453.5166,2048.933,1.13665
295.5125,0,55,36.336098,0,0,0,536.05206,70.761345,0,1435.1155,2022.994,1.1222602
293.95676,0,55,36.323303,0,0,0,548.83014,68.683685,0,1381.6428,1947.617,1.0804447
292.61255,0,54.266666,36.321106,0,0,0,561.8195,69.45391,0,1320.5092,1861.4406,1.0326382
291.83475,0,55,36.37226,0,0,0,576.2647,69.63409,0,1281.6498,1806.6628,1.0022501
290.63446,0,55,36.39367,0,0,0,590.7588,69.3801,0,1236.873,1743.544,0.96723473
289.58026,0,55,36.41541,0,0,0,607.1407,70.2697,0,1187.8381,1674.4225,0.92888945
278.50327,0,45.27468,35.768124,0,0,0,670.3457,67.212654,0,1129.221,1591.7935,0.8830508
293.39722,0,55,36.36496,0,0,0,1155.8329,67.01579,0,1117.1315,1574.7515,0.8735968
300.31836,0,55,36.282337,0,0,0,0,64.082596,0,1126.6483,1588.1669,0.881039
299.51355,0,55,36.30859,0,0,0,0,60.69135,0,1272.6301,1793.9485,0.99519676
299.01514,0,55,36.286987,0,0,0,-0.26666668,68.65773,0,1274.8973,1797.1444,0.9969697
298.3453,0,55,36.32378,0,0,0,0,70.270996,0,1257.8365,1773.0948,0.98362815
297.45102,0,55,36.36138,0,0,0,0,72.26379,0,1290.1019,1818.5774,1.0088598
296.49496,0,55,36.407368,0,0,0,0,68.228386,0,1245.9148,1756.2896,0.9743054
295.5475,0,55,36.433014,0,0,0,0,63.203014,0,1261.885,1778.8018,0.9867941
294.55737,0,55,36.469673,0,0,0,0,71.22715,0,1256.5459,1771.2755,0.98261887
292.95615,0,55,36.4741,0,0,0,0,71.27691,0,1256.8525,1771.7076,0.98285866
291.4762,0,55,36.503315,0,0,0,0,70.35018,0,1270.2532,1790.5978,0.993338
289.83957,0,55,36.53812,0,0,0,0,71.498314,0,1268.3116,1787.861,0.99181974
288.19598,0,55,36.596107,0,0,0,0,69.36542,0,1254.673,1768.6353,0.9811542
286.6198,0,55,36.64932,0,0,0,0,62.386997,0,1259.0394,1774.7905,0.98456883
284.9907,0,55,36.64042,0,0,0,0,68.57748,0,1271.4757,1792.321,0.994294
