Date,Qo,Qg,Qw ,Pwh,Twh,Pwf
43518,721.1469,4685,3386.7,220,90,2394
43519,753.2314,4474,3616.32,212,90,2329
43520,730.357,4468,3542.16,220,90,2320
43521,683.8906,4450,3372.73,209,90,2313
43522,731.5967,4442,3498.66,212,90,2306
43523,541.1308,3406,2684.18,218,90,2365
43524,730.3756,4650,3526.64,221,90,2321
43525,751.8194,4413,3563.51,202,90,2297
43526,752.7077,4408,3352.56,213,90,2288
43527,359.5784,2098,1846.94,253,90,2407
43528,648.6098,4472,2966.88,215,90,2361
43529,808.3616,4407,3532.68,210,90,2279
43530,677.9219,4397,3462.09,210,90,2279
43532,698.1268,2164,3003.21,225,90,2478
43533,707.9721,4975,3225.31,218,90,2318
43534,739.1999,4412,3606.55,213,90,2286
43535,686.4724,4386,3236.5,215,90,2271
43536,718.9801,4382,3492.57,210,90,2259
43537,676.3154,4374,3333.45,212,90,2250
43538,821.4355,4369,3450.87,210,90,2242
43539,688.3553,4346,3399.87,205,90,2238
43540,675.6932,4334,3405.88,203,90,2227
43541,658.6278,4314,3328.84,203,90,2222
43542,668.2418,4306,3349.26,203,90,2216
43543,660.0789,4292,3393.93,201,90,2209
43544,666.0122,4270,3450.78,210,90,2204
43545,607.7872,4234,3381.4,195,90,2200
43546,666.9127,4261,3285.37,200,90,2200
43547,644.2903,4244,3514,199,90,2188
43548,618.7513,4219,3203.09,217,90,2183
43549,520.9983,4210,3547.82,210,90,2178
43550,561.4185,4201,3194.5,205,90,2173
43551,625.2414,4195,3233.69,200,90,2168
43552,794.4908,4191,3169.44,200,90,2163
43553,926.6729,4172,3358.93,203,90,2158
43554,750.1562,4137,3335.77,189,90,2154
43555,608.1412,4139,3176.83,198,90,2149
43556,629.9799,4145,3364.3,195,90,2144
43557,573.846,4132,3067.19,193,90,2139
43558,386.3558,3971,2077.28,1155,90,2135
43559,530.387,2405,2754.99,199,90,2316
43560,651.1145,4388,3485.68,199,90,2159
43561,628.7932,4100,3216.37,199,90,2141
43562,612.6932,4102,3221.53,199,90,2131
43563,586.9729,4079,3260.91,181,90,2124
43564,629.8151,4115,3122.29,187,90,2118
43565,620.5567,4098,3139.58,182,90,2112
43566,596.2168,4087,3194,178,90,2106
43567,610.9986,4075,3275.25,182,90,2101
43568,567.3622,4047,3085.06,187,90,2097
43569,596.1713,4022,3215.07,180,90,2093
43570,500.6792,4039,2837.33,998,90,2088
43572,575.0313,2566,2721.75,204,90,2281
43573,633.5207,4528,3404.94,212,90,2134
43574,765.6481,4082,3425.19,188,90,2107
43575,545.91,4070,2880.77,172,90,2094
43576,611.2079,4092,3105.31,183,90,2084
43577,317.5329,3789,1715.73,850,90,2077
43578,68.7409,757,584.76,1440,90,2324
43579,599.4682,1672,2523.93,200,90,2340
43580,637.1284,4965,3007.25,190,90,2144
43581,612.9476,4137,3140.53,180,90,2102
43582,613.3574,4060,3212.48,185,90,2085
43583,572.0742,4089,2804.85,190,90,2073
43584,225.2475,2867,989.42,216,90,2127
43585,603.4287,2998,3039.52,187,90,2191
43586,646.0555,4209,3181.1,200,90,2081
43587,623.0838,4088,3343.46,180,90,2064
43588,629.7466,4114,3702.23,195,90,2053
43589,576.8977,4046,3228.71,190,90,2046
43590,560.3913,4090,3061.8,189,90,2039
43591,471.1534,4054,2483.61,180,90,2034
43592,675.4261,4050,3737.96,190,90,2028
43593,443.3773,3991,2756.96,180,90,2024
43594,546.0795,4027,2709.63,190,90,2018
43595,327.097,3913,1475.75,46,90,2035
43596,12.1495,151,142.01,130,90,2214
43597,657.1813,3581,3154.69,200,90,2186
43598,176.7667,2701,574.22,1294,90,2118
43599,122.2999,596,570.41,260,90,2280
43600,625.1763,1987,2333.33,217,90,2337
43601,608.2012,4887,3180.73,184,90,2104
43602,577.7397,4061,3201.95,182,90,2059
43603,554.8079,3916,2853.88,183,90,2041
43604,740.2446,3899,2956.1,197,90,2029
43605,581.9289,3924,3214.66,180,90,2018
43606,481.7335,3962,2581.93,180,90,2008
43607,586.7161,3958,3138.25,183,90,2001
43608,594.6541,3948,3224.01,226,90,1996
43609,557.1485,3928,3194.3,183,90,1996
43610,500.4532,3969,2676.69,181,90,1983
43611,527.2805,3968,2928.96,181,90,1977
43612,547.5993,3956,3194.36,180,90,1972
43613,537.7645,3940,3036.74,179,90,1967
43614,455.9452,3929,2698.65,178,90,1963
43615,529.1368,3917,2978.29,181,90,1959
43616,466.5014,3907,2569.99,178,90,1954
43617,517.8411,3884,2807,180,90,1950
