FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
424.0559,3135.0056,51,49.239574,1987.6456,77.5,98.4825,432.89023,0,67.810234,3775.8054,1696.3763,1.7935076
424.29843,3136.0896,51,49.237022,1988.4757,77.5,98.46098,433.09015,0,67.606,3921.1812,1761.6901,1.862561
424.99667,3137.6663,51,49.2313,1990.0334,77.5,98.40157,433.73947,0,67.2162,3886.3328,1746.0336,1.8460081
424.8756,3138.8438,51,49.25669,1990.7692,77.5,98.40705,433.7492,0,65.913734,3835.686,1723.2793,1.8219509
378.20856,3108.275,40.461346,48.434273,2002.5308,77.50687,97.060326,375.21027,0,63.713684,3605.2869,1619.7666,1.7125113
442.04486,3138.2305,51,49.96291,1993.1256,77.49339,98.66638,451.00604,0,66.530876,3801.8682,1708.0857,1.8058875
434.15417,3134.0854,51,49.722855,1987.635,77.5,98.6,443.23502,0,66.932724,3839.7993,1725.1272,1.8239046
432.16537,3135.8013,51,49.619267,1988.8066,77.5,98.59301,441.12265,0,67.42355,3822.7283,1717.4576,1.8157959
430.83835,3137.3445,51,49.56022,1990.5199,77.5,98.80665,439.79803,0,67.00241,3830.303,1720.8608,1.819394
428.94272,3137.5996,51,49.47486,1990.5494,77.5,98.595146,437.71747,0,67.52886,3749.8872,1684.7319,1.7811965
419.90097,3063.2214,47.03839,49.275185,2018.2803,78.334755,92.951164,430.3278,0,66.13686,3944.7334,1772.2715,1.8737484
422.56873,3070.2375,40.0974,49.095608,2014.366,77.47131,95.15318,400.3783,0,63.987156,3682.4822,1654.4485,1.749179
437.43927,3130.8655,51,49.836693,1985.6764,77.5,98.4518,446.71274,0,67.589836,3778.7039,1697.6786,1.7948843
432.9454,3130.2305,51,49.641296,1984.8005,77.5,98.396645,441.99945,0,67.98468,3719.4407,1671.0531,1.7667344
429.79178,3130.8406,51,49.563496,1985.1112,77.499245,98.346664,439.03928,0,67.31902,3758.945,1688.8014,1.785499
427.91077,3131.6765,51,49.484695,1986.1759,77.5,98.30199,437.13153,0,66.76664,3736.476,1678.7067,1.774826
426.44727,3132.4766,51,49.45145,1986.6782,77.46635,98.28514,436.11383,0,67.59394,3782.8752,1699.5526,1.7968658
427.5,3133.9849,51,49.43471,1987.8312,77.44918,98.27277,435.90063,0,67.96312,3731.2437,1676.3558,1.7723408
426.22507,3134.7236,51,49.42691,1988.8309,77.43999,98.26926,435.0271,0,67.112114,3698.0872,1661.4594,1.7565913
425.90146,3135.7725,51,49.417595,1989.7219,77.4,98.26645,434.71304,0,67.068886,3734.6763,1677.898,1.7739712
426.42203,3137.264,51,49.421753,1990.8293,77.4,98.26122,435.11102,0,67.52738,3695.6453,1660.3624,1.7554315
425.5572,3137.8682,51,49.39849,1992.0242,77.4,98.258286,434.36288,0,67.44727,3718.3215,1670.5503,1.7662027
425.25925,3137.7798,51,49.368748,1992.0123,77.4,98.25758,434.10275,0,67.7599,3698.1218,1661.4751,1.7566079
425.26297,3137.6316,51,49.345455,1991.815,77.399994,98.253174,433.98938,0,67.76846,3715.436,1669.2539,1.7648321
425.53424,3138.2559,51,49.342594,1992.027,77.4,98.2413,434.08032,0,67.90943,3657.2222,1643.0999,1.7371806
425.452,3138.8423,51,49.323074,1992.9175,77.4,98.24924,434.23715,0,67.28926,3758.5083,1688.6051,1.7852914
425.52124,3139.9426,51,49.30542,1993.5627,77.4,98.22807,434.57794,0,67.64005,3774.2095,1695.6594,1.7927495
425.45477,3140.1833,51,49.34376,1993.7694,77.399994,98.21752,434.23965,0,67.706,3776.5586,1696.7147,1.7938653
424.38956,3139.7896,51,49.312717,1993.7753,77.4,98.2002,433.42822,0,67.09784,3818.2844,1715.4612,1.8136852
423.8,3139.2275,51,49.29365,1993.4929,77.4,98.1682,432.999,0,67.1251,3829.058,1720.3014,1.8188026
423.8,3139.2966,51,49.281723,1993.4828,77.4,98.153625,432.99368,0,67.39582,3833.7444,1722.4069,1.8210286
425.3693,3140.1694,51,49.248226,1994.3546,77.4,98.14809,433.60803,0,67.710396,4264.571,1915.9666,2.025671
425.76602,3141.4644,51,49.21598,1995.3779,77.4,98.1543,434.72958,0,67.42611,4040.6733,1815.375,1.9193199
425.59143,3141.8308,51,49.213917,1995.931,77.4,98.13963,434.5527,0,67.018906,4000.6826,1797.4081,1.9003242
425.4822,3142.4412,51,49.23501,1996.3877,77.4,98.12462,434.45654,0,67.58441,4309.332,1936.0767,2.0469327
425.49643,3142.6965,51,49.253777,1996.8342,77.4,98.116745,434.37302,0,67.74753,3866.6646,1737.1971,1.8366657
425.7375,3143.041,51,49.2337,1997.13,77.4,98.11053,434.97293,0,66.891914,3880.836,1743.564,1.8433971
379.23486,3144.2986,39.057343,48.198643,2019.501,77.3203,96.46223,384.2856,0,62.168243,3869.7126,1738.5665,1.8381135
434.49814,3144.2356,51,49.49953,2000.4894,77.399994,98.4127,443.61218,0,67.410965,3834.2952,1722.6543,1.8212901
431.3,3137.5657,51,49.372032,1993.6534,77.399994,98.4478,440.6854,0,67.71847,3832.7246,1721.9487,1.8205442
428.97018,3133.4146,51,49.339767,1989.8738,77.399994,98.412704,438.0647,0,67.55486,3810.6072,1712.012,1.8100384
427.94415,3131.4329,51,49.2695,1987.7799,77.399994,98.34655,437.39517,0,67.67632,3893.9924,1749.4749,1.8496463
428.2686,3129.917,51,49.210094,1985.877,77.4,98.24972,437.0664,0,67.87438,3859.0671,1733.7838,1.8330568
426.08044,3128.8376,51,49.23845,1984.8171,77.4,98.26767,435.17444,0,67.75699,3848.1646,1728.8855,1.8278781
425.85962,3132.001,51,49.2464,1987.4985,77.4,98.23694,434.70395,0,66.24508,3921.4795,1761.8241,1.8627027
427.33398,3136.9658,51,49.271,1991.5774,77.4,98.2204,435.54816,0,67.545784,3772.8213,1695.0356,1.79209
427.6085,3142.0308,51,49.320255,1996.1282,77.4,98.28333,436.34875,0,67.96133,3733.0532,1677.1688,1.7732003
428.55554,3146.6416,51,49.38998,2000.6201,77.4,98.28419,436.6938,0,67.13346,3754.473,1686.7922,1.7833747
430.16,3152.4766,51,49.425297,2005.8397,77.4,98.26463,439.3191,0,67.14992,3718.999,1670.8547,1.7665246
431.66583,3157.3257,51,49.45823,2010.3354,77.4,98.28891,440.39508,0,66.76347,3714.4812,1668.8248,1.7643785
432.30493,3162.2278,51,49.516285,2014.8926,77.399994,98.377716,441.438,0,68.02073,3693.9763,1659.6125,1.7546387
429.58078,3164.5,51,49.660934,2017.7579,77.4,98.34238,438.23502,0,68.19028,3648.1455,1639.0219,1.7328691
425.6787,3165.8184,51,49.73254,2020.4921,77.4,98.36171,434.78207,0,67.271255,3744.9487,1682.5132,1.7788506
427.77087,3168.812,51,49.74507,2027.4889,77.4,98.39011,436.0391,0,68.19395,3772.9019,1695.0719,1.7921284
427.5877,3171.289,51,49.759865,2038.4282,77.399994,98.37785,436.93552,0,68.04738,3787.8748,1701.7988,1.7992406
427.61096,3173.5667,51,49.75029,2039.2446,77.399994,98.372574,437.46463,0,67.18602,3769.84,1693.6962,1.790674
429.41708,3175.9817,51,49.79656,2042.2056,77.4,98.50458,438.82977,0,67.638145,3750.1145,1684.834,1.7813044
429.04193,3176.7617,51,49.81906,2044.0546,77.4,98.52442,438.26855,0,67.18976,3776.9434,1696.8876,1.7940481
428.9036,3177.9585,51,49.81971,2044.995,77.4,98.5326,437.9214,0,67.51431,3802.0647,1708.174,1.8059807
430.22296,3180.2212,51,49.790688,2046.9388,77.4,98.42772,439.8657,0,67.979454,3765.8293,1691.8943,1.7887689
435.25793,3183.3464,51,49.768127,2049.6653,77.4,98.383896,443.14932,0,68.11065,3794.7534,1704.8892,1.8025079
437.31882,3186.7102,51,49.710682,2053.369,77.399994,98.360725,446.68863,0,67.87925,3746.5095,1683.2145,1.779592
436.82263,3187.7715,51,49.75743,2053.7644,77.399994,98.33994,445.88214,0,68.16162,3737.2905,1679.0725,1.775213
436.89465,3188.8862,51,49.764126,2054.7378,77.399994,98.36008,446.0185,0,68.36349,3720.0015,1671.3049,1.7670007
435.6491,3189.6292,51,49.81372,2055.4111,77.399994,98.4602,445.18182,0,68.409744,3735.6538,1678.3372,1.7744355
436.03546,3190.445,51,49.854233,2056.6206,77.399994,98.456245,444.75208,0,68.83877,3741.5874,1681.003,1.7772541
434.46463,3190.4678,51,49.875393,2057.3054,77.399994,98.44859,443.72687,0,68.77768,3749.1118,1684.3835,1.7808281
433.79898,3190.6724,51,49.87358,2056.8684,77.399994,98.441086,443.7435,0,68.9431,3714.601,1668.8787,1.7644354
436.1668,3192.4739,51,49.842316,2058.7058,77.399994,98.45703,445.3995,0,69.04002,3721.6501,1672.0458,1.7677839
436.26294,3192.5652,51,49.83949,2058.9524,77.399994,98.45099,445.60577,0,68.96726,3726.0212,1674.0096,1.7698601
422.1934,3203.9136,43.737087,48.39123,2074.218,77.374016,97.97796,428.42908,0,67.784584,3727.2893,1674.5792,1.7704624
425.92676,3208.92,35.62381,48.489746,2079.3313,77.35629,98.01777,378.45282,0,64.17355,3752.6616,1685.9784,1.7825142
438.70706,3198.2622,51,50.103683,2066.3022,77.399994,98.65797,447.83868,0,68.36217,4024.1882,1807.9686,1.9114894
435.32358,3195.6282,51,50.00108,2063.7456,77.399994,98.57673,444.93948,0,67.42121,4070.3223,1828.6956,1.9334031
435.21347,3195.9136,51,49.94234,2063.991,77.399994,98.55227,444.9803,0,68.81191,4148.585,1863.8569,1.9705778
435.16946,3196.9285,51,49.898003,2064.5417,77.399994,98.50233,444.7714,0,68.853035,4081.2314,1833.5967,1.9385849
435,3198.018,51,49.88457,2066.2896,77.399994,98.399994,444.28162,0,68.72944,4088.287,1836.7667,1.9419364
433.6077,3198.73,51,49.90352,2064.6233,77.399994,98.49529,443.33282,0,68.82261,4208.354,1890.7097,1.9989681
433.56876,3200.2852,51,49.897945,2065.4004,77.399994,98.399994,443.46976,0,69.07561,4178.368,1877.2378,1.9847249
435.49335,3202.7095,51,49.86204,2068.1965,77.399994,98.44219,444.96457,0,68.561905,4078.5303,1832.3832,1.9373019
436.1393,3203.2166,51,49.85945,2068.055,77.399994,98.49691,445.47717,0,68.480515,4082.6152,1834.2185,1.9392422
436.14224,3203.1296,51,49.842957,2068.717,77.399994,98.399994,445.37274,0,68.84261,4037.6882,1814.0338,1.9179019
436.32053,3203.4382,51,49.847466,2068.9048,77.399994,98.399994,445.4161,0,69.25897,4004.168,1798.974,1.9019798
435.98895,3203.8938,51,49.861294,2068.7598,77.399994,98.50565,445.08502,0,69.16007,4002.315,1798.1415,1.9010997
435.92667,3204.331,51,49.863567,2068.696,77.399994,98.43404,444.9182,0,69.06908,4004.2703,1799.02,1.9020284
435.01517,3204.4468,51,49.870506,2069.0508,77.399994,98.5159,444.1372,0,68.66723,4032.6492,1811.7699,1.9155084
435,3204.5452,51,49.859188,2069.1458,77.399994,98.47921,443.72916,0,68.32593,4031.6926,1811.3402,1.915054
434.76175,3204.974,51,49.842014,2070.0715,77.399994,98.42752,444.33405,0,68.76186,4040.5186,1815.3054,1.9192463
443.4419,3208.8672,51,49.682755,2073.616,77.399994,98.444145,452.02692,0,68.71825,4126.4277,1853.9023,1.9600532
442.45404,3208.7114,51,49.709587,2072.8257,77.399994,98.320915,450.81024,0,69.39541,4163.059,1870.36,1.9774531
442.74014,3209.2966,51,49.7181,2074.2463,77.399994,98.44674,451.5949,0,69.47425,4167.758,1872.4711,1.9796851
443.47778,3210.1104,51,49.688084,2074.3135,77.399994,98.30119,452.45053,0,69.16301,4103.4575,1843.5824,1.9491423
442.74866,3210.2026,51,49.6956,2074.3406,77.399994,98.39605,451.8012,0,69.133385,4069.812,1828.4663,1.9331608
442.4696,3209.7986,51,49.70991,2073.9841,77.399994,98.41333,450.71246,0,68.372154,4059.8335,1823.9832,1.9284209
441.47784,3209.2556,51,49.680576,2073.355,77.399994,98.40938,449.76755,0,67.95147,4168.296,1872.7126,1.9799405
