FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas
313.2582,3578.9065,52,51.529602,2460.326,76.46433,87.40807,898.78235,0,65.257706,2304.3394,2213.973,1.1358088
315.03693,3577.8276,52,51.503582,2458.5537,76.54276,87.476,902.7787,0,64.89107,2226.9397,2139.6086,1.0976585
314.6786,3576.384,52,51.480316,2456.979,76.62492,87.55174,905.1742,0,63.961426,2222.7986,2135.63,1.0956174
314.81952,3572.7876,52,51.429398,2455.4685,76.656395,87.60058,905.0537,0,63.96645,3425.9316,1203.7057,1.6886417
314.998,3572.924,52,51.397137,2454.5586,76.7046,87.65061,907.48505,0,64.48217,3490.838,1226.5106,1.720634
314.8697,3571.5447,52,51.40983,2453.1274,76.78034,87.70137,909.2727,0,64.197105,3451.4644,2398.475,1.7012268
311.03363,3568.111,52,51.392704,2451.3577,76.813515,87.73402,908.469,0,65.23047,3460.902,1215.9926,1.7058786
300.1464,3562.9985,52,51.352867,2448.8696,76.89702,87.761925,907.09106,0,66.103676,3467.7744,1218.4072,1.7092661
314.53958,3563.8188,52,51.337105,2447.8975,76.9,87.77149,909.64355,0,66.01796,3439.18,1208.3605,1.6951718
311.9031,3559.5708,52,51.330208,2446.37,76.95886,87.7975,907.3617,0,66.15695,3445.976,1210.7483,1.6985216
307.20422,3558.4348,52,51.31205,2445.1516,77,87.809875,907.68256,0,65.725845,3443.7778,1209.976,1.697438
314.96274,3265.5583,55,53.427925,2218.954,77.94375,89.21975,652.53296,0,67.28452,3516.4753,1300.6141,1.4593372
314.7499,3265.7246,55,53.433994,2218.7903,77.95336,89.22434,652.39264,0,66.59198,3463.2896,1280.9427,1.4372652
315.37354,3265.427,55,53.443657,2218.3962,77.95251,89.22022,652.07477,0,67.33207,3465.7957,1281.8696,1.4383051
314.81683,3265.6873,55,53.45183,2218.1257,77.958954,89.22346,652.15784,0,66.16863,3498.3882,1293.9243,1.4518311
315.7622,3265.8132,55,53.442944,2217.874,77.96085,89.22037,652.19244,0,65.91175,3482.3616,1287.9967,1.44518
314.19562,3265.7483,55,53.448223,2217.6594,77.96956,89.211716,652.06415,0,65.5823,3437.5066,1271.4066,1.4265653
312.53592,3265.6562,55,53.4239,2217.4575,77.9725,89.21565,651.8615,0,65.87862,3546.9768,1311.8955,1.4719954
313.6553,3265.2136,55,53.42172,2217.1636,77.97086,89.21051,651.49554,0,66.9963,3523.002,1303.0282,1.4620459
